date,year,data_type,cut,loc,rep,blk,row,rng,plant_no,name,plant_id,plant_name,check,plot,value,id_by_plot,id_by_plant_aug
10_04_17,2017,VIG,7,ALF16,1,3,3,5,3,CASIA,5_3_3,ALF16_5_3_3_CASIA,Test,5_3,0.225,ALF16_5_3_CASIA,ALF16_5_3_3_CASIA
10_04_17,2017,VIG,7,ALF16,2,3,10,6,4,OTTM,6_10_4,ALF16_6_10_4_OTTM,Test,6_10,0.225,ALF16_6_10_OTTM,ALF16_6_10_4_OTTM
10_04_17,2017,VIG,7,ALF16,2,3,12,6,6,CASIA,6_12_6,ALF16_6_12_6_CASIA,Test,6_12,0.225,ALF16_6_12_CASIA,ALF16_6_12_6_CASIA
10_04_17,2017,VIG,7,ALF16,1,3,6,6,5,CASIA,6_6_5,ALF16_6_6_5_CASIA,Test,6_6,0.225,ALF16_6_6_CASIA,ALF16_6_6_5_CASIA
10_04_17,2017,VIG,7,ALF16,1,4,1,7,2,EURO,7_1_2,ALF16_7_1_2_EURO,Test,7_1,0.225,ALF16_7_1_EURO,ALF16_7_1_2_EURO
10_04_17,2017,VIG,7,ALF16,4,4,20,7,6,EURO,7_20_6,ALF16_7_20_6_EURO,Test,7_20,0.225,ALF16_7_20_EURO,ALF16_7_20_6_EURO
10_04_17,2017,VIG,7,ALF16,3,1,13,1,1,SIBR,1_13_1,ALF16_1_13_1_SIBR,Test,1_13,0.2368,ALF16_1_13_SIBR,ALF16_1_13_1_SIBR
10_04_17,2017,VIG,7,ALF16,3,1,13,1,5,SIBR,1_13_5,ALF16_1_13_5_SIBR,Test,1_13,0.2368,ALF16_1_13_SIBR,ALF16_1_13_5_SIBR
10_04_17,2017,VIG,7,ALF16,3,2,17,3,2,SIBR,3_17_2,ALF16_3_17_2_SIBR,Test,3_17,0.2368,ALF16_3_17_SIBR,ALF16_3_17_2_SIBR
10_04_17,2017,VIG,7,ALF16,3,2,17,3,3,SIBR,3_17_3,ALF16_3_17_3_SIBR,Test,3_17,0.2368,ALF16_3_17_SIBR,ALF16_3_17_3_SIBR
