date,data_type,cut,Loc,rep,blk,row,rng,plant_no,name,plant_id,plant_names,plot,value,id_by_plot,id_by_plant_aug
08_18_17,HGT,2,ALF16,1,1,2,1,6,SIBR,1_2_6,ALF16_1_2_6_SIBR,1_2,30,ALF16_1_2_SIBR,ALF16_1_2_6_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,1_2,10,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,3,SIBR,1_2_3,ALF16_1_2_3_SIBR,1_2,25,ALF16_1_2_SIBR,ALF16_1_2_3_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,4,SIBR,1_2_4,ALF16_1_2_4_SIBR,1_2,17.5,ALF16_1_2_SIBR,ALF16_1_2_4_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,5,SIBR,1_2_5,ALF16_1_2_5_SIBR,1_2,20,ALF16_1_2_SIBR,ALF16_1_2_5_SIBR
10_05_17,HGT,3,ALF16,1,1,2,1,6,SIBR,1_2_6,ALF16_1_2_6_SIBR,1_2,20,ALF16_1_2_SIBR,ALF16_1_2_6_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,3,SIBR,1_2_3,ALF16_1_2_3_SIBR,1_2,10,ALF16_1_2_SIBR,ALF16_1_2_3_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,4,SIBR,1_2_4,ALF16_1_2_4_SIBR,1_2,5,ALF16_1_2_SIBR,ALF16_1_2_4_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,5,SIBR,1_2_5,ALF16_1_2_5_SIBR,1_2,5,ALF16_1_2_SIBR,ALF16_1_2_5_SIBR
10_31_18,HGT,4,ALF16,1,1,2,1,6,SIBR,1_2_6,ALF16_1_2_6_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_6_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,3,SIBR,1_2_3,ALF16_1_2_3_SIBR,1_2,27.5,ALF16_1_2_SIBR,ALF16_1_2_3_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,4,SIBR,1_2_4,ALF16_1_2_4_SIBR,1_2,27.5,ALF16_1_2_SIBR,ALF16_1_2_4_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,5,SIBR,1_2_5,ALF16_1_2_5_SIBR,1_2,35,ALF16_1_2_SIBR,ALF16_1_2_5_SIBR
09_22_19,HGT,5,ALF16,1,1,2,1,6,SIBR,1_2_6,ALF16_1_2_6_SIBR,1_2,NA,ALF16_1_2_SIBR,ALF16_1_2_6_SIBR
07_12_17,HGT,1,ALF16,1,1,3,1,1,OTTM,1_3_1,ALF16_1_3_1_OTTM,1_3,65,ALF16_1_3_OTTM,ALF16_1_3_1_OTTM
07_12_17,HGT,1,ALF16,1,1,3,1,2,OTTM,1_3_2,ALF16_1_3_2_OTTM,1_3,55,ALF16_1_3_OTTM,ALF16_1_3_2_OTTM
07_12_17,HGT,1,ALF16,1,1,3,1,3,OTTM,1_3_3,ALF16_1_3_3_OTTM,1_3,60,ALF16_1_3_OTTM,ALF16_1_3_3_OTTM
07_12_17,HGT,1,ALF16,1,1,3,1,4,OTTM,1_3_4,ALF16_1_3_4_OTTM,1_3,60,ALF16_1_3_OTTM,ALF16_1_3_4_OTTM
07_12_17,HGT,1,ALF16,1,1,3,1,5,OTTM,1_3_5,ALF16_1_3_5_OTTM,1_3,45,ALF16_1_3_OTTM,ALF16_1_3_5_OTTM
07_12_17,HGT,1,ALF16,1,1,3,1,6,OTTM,1_3_6,ALF16_1_3_6_OTTM,1_3,40,ALF16_1_3_OTTM,ALF16_1_3_6_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,1,OTTM,1_3_1,ALF16_1_3_1_OTTM,1_3,77.5,ALF16_1_3_OTTM,ALF16_1_3_1_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,2,OTTM,1_3_2,ALF16_1_3_2_OTTM,1_3,65,ALF16_1_3_OTTM,ALF16_1_3_2_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,3,OTTM,1_3_3,ALF16_1_3_3_OTTM,1_3,65,ALF16_1_3_OTTM,ALF16_1_3_3_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,4,OTTM,1_3_4,ALF16_1_3_4_OTTM,1_3,62.5,ALF16_1_3_OTTM,ALF16_1_3_4_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,5,OTTM,1_3_5,ALF16_1_3_5_OTTM,1_3,50,ALF16_1_3_OTTM,ALF16_1_3_5_OTTM
08_18_17,HGT,2,ALF16,1,1,3,1,6,OTTM,1_3_6,ALF16_1_3_6_OTTM,1_3,32.5,ALF16_1_3_OTTM,ALF16_1_3_6_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,1,OTTM,1_3_1,ALF16_1_3_1_OTTM,1_3,65,ALF16_1_3_OTTM,ALF16_1_3_1_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,2,OTTM,1_3_2,ALF16_1_3_2_OTTM,1_3,50,ALF16_1_3_OTTM,ALF16_1_3_2_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,3,OTTM,1_3_3,ALF16_1_3_3_OTTM,1_3,60,ALF16_1_3_OTTM,ALF16_1_3_3_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,4,OTTM,1_3_4,ALF16_1_3_4_OTTM,1_3,55,ALF16_1_3_OTTM,ALF16_1_3_4_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,5,OTTM,1_3_5,ALF16_1_3_5_OTTM,1_3,40,ALF16_1_3_OTTM,ALF16_1_3_5_OTTM
10_05_17,HGT,3,ALF16,1,1,3,1,6,OTTM,1_3_6,ALF16_1_3_6_OTTM,1_3,22.5,ALF16_1_3_OTTM,ALF16_1_3_6_OTTM
10_31_18,HGT,4,ALF16,1,1,3,1,1,OTTM,1_3_1,ALF16_1_3_1_OTTM,1_3,12.5,ALF16_1_3_OTTM,ALF16_1_3_1_OTTM
